has_description,has_url,is_geo_enabled,has_twice_number_followers,has_default_profile,has_profile_image,has_100_friends_1_follower_ratio,has_50_friends_1_follower_ratio,is_protected,is_verified,num_favourites,num_list,num_followers,num_friends,statuses_count,followers_i_follow_back_ratio,friends_that_follow_me_back_ratio,is_bot
0,0,0,0,1,1,1,1,0,0,0,0,11,1148,0,0.545454545,0.005226481,1
0,0,0,0,1,1,0,1,0,0,0,0,15,1094,2,0.6,0.008226691,1
1,0,0,0,0,1,0,0,0,0,9,2,52,637,126,0.673076923,0.054945055,1
0,0,0,0,0,1,0,1,0,0,0,0,10,989,16,0.4,0.004044489,1
1,0,0,0,0,1,0,1,0,0,0,1,18,1066,25,0.444444444,0.00750469,1
0,0,0,0,1,1,0,0,0,0,0,0,18,365,14,0.388888889,0.019178082,1
1,0,0,0,1,1,0,0,0,0,1,0,19,564,20,0.526315789,0.017730496,1
0,0,0,0,1,1,0,1,0,0,43,0,18,1149,931,0.722222222,0.011314186,1
0,0,0,0,1,1,1,1,0,0,0,0,6,617,16,1,0.009724473,1
0,0,0,0,1,1,0,1,0,0,0,0,12,1117,6,0.916666667,0.009847807,1
0,0,0,0,1,1,0,0,0,0,0,0,16,701,2,0.75,0.017118402,1
0,0,0,0,1,1,0,1,0,0,0,0,17,1318,68,0.823529412,0.010622155,1
0,0,0,0,1,1,0,1,0,0,1,0,18,1162,14,0.555555556,0.008605852,1
0,0,0,0,1,1,1,1,0,0,0,0,4,496,8,0.75,0.006048387,1
0,0,0,0,1,1,0,1,0,0,0,0,7,524,29,0.714285714,0.009541985,1
0,0,1,0,1,1,0,0,0,0,1,1,27,1108,42,0.851851852,0.020758123,1
0,0,0,0,0,1,0,1,0,0,0,0,19,1325,3,0.736842105,0.010566038,1
1,0,1,0,1,1,0,0,0,0,19,1,73,943,486,0.684931507,0.053022269,1
0,0,0,0,1,1,0,1,0,0,0,0,9,671,0,0.777777778,0.010432191,1
1,1,0,0,0,1,0,0,0,0,217,2,220,1721,1017,0.895454545,0.114468332,1
0,0,0,0,1,1,0,0,0,0,0,1,28,672,14,0.321428571,0.013392857,1
1,1,0,0,1,1,1,1,0,0,0,0,3,663,28,1,0.004524887,1
0,0,0,0,1,1,1,1,0,0,1,0,7,934,8,0.428571429,0.003211991,1
1,0,0,0,1,1,1,1,0,0,0,0,8,1268,3,0.875,0.005520505,1
0,0,0,0,0,1,0,0,0,0,3,1,62,1083,373,0.258064516,0.014773777,1
0,1,1,0,0,1,0,0,0,0,0,0,21,701,85,0.666666667,0.019971469,1
0,1,0,0,1,1,1,1,0,0,0,0,9,1138,5,0.777777778,0.006151142,1
0,0,0,0,1,1,0,1,0,0,0,0,9,512,0,0.444444444,0.0078125,1
0,0,0,0,1,1,0,1,0,0,0,0,13,717,78,0.846153846,0.015341702,1
0,0,0,0,0,1,1,1,0,0,0,0,8,1125,0,0.625,0.004444444,1
0,0,0,0,1,1,0,0,0,0,2,0,28,1078,16,0.428571429,0.011131725,1
0,0,0,0,1,1,1,1,0,0,11,0,6,671,28,0.666666667,0.005961252,1
1,0,1,0,0,1,0,0,0,0,0,0,234,983,222,0.076923077,0.018311292,1
0,0,1,1,0,1,0,0,0,0,14,0,499,817,4795,0.370741483,0.226438188,1
0,0,0,0,0,1,0,1,0,0,0,0,10,887,6,0.7,0.00789177,1
0,0,0,0,1,1,1,1,0,0,0,0,7,1129,0,0.571428571,0.003542958,1
0,0,0,0,1,1,0,1,0,0,1,0,17,1007,11,0.411764706,0.006951341,1
0,0,0,0,1,1,0,1,0,0,0,0,10,641,3,0.8,0.012480499,1
0,0,0,0,1,1,0,1,0,0,0,0,10,747,61,1,0.013386881,1
0,0,0,0,0,1,0,1,0,0,0,0,32,1615,11,0.53125,0.010526316,1
0,0,0,0,1,1,0,1,0,0,0,0,7,697,0,0.571428571,0.005738881,1
1,0,0,0,0,1,0,0,0,0,0,0,71,667,48,0.676056338,0.071964018,1
0,0,0,0,1,1,0,1,0,0,3,0,10,582,28,0.9,0.015463918,1
1,1,0,0,1,1,1,1,0,0,0,0,8,1235,21,1,0.006477733,1
0,0,0,0,0,1,1,1,0,0,0,0,4,685,0,0.75,0.004379562,1
0,0,1,0,0,1,0,0,0,0,8,1,78,1550,438,0.692307692,0.03483871,1
0,0,0,0,1,1,0,1,0,0,0,1,11,980,32,0.454545455,0.005102041,1
0,0,0,0,1,1,0,1,0,0,0,0,20,1940,2,0.95,0.009793814,1
1,0,0,0,0,1,0,0,0,0,0,0,68,1314,1742,0.5,0.02587519,1
1,0,1,0,0,1,0,0,0,0,22,17,191,1025,1190,0.413612565,0.077073171,1
0,0,0,0,1,1,0,1,0,0,0,0,13,1162,4,0.846153846,0.009466437,1
0,0,0,0,1,1,0,1,0,0,0,0,16,955,1,0.3125,0.005235602,1
0,1,1,0,0,1,0,0,0,0,1,0,80,1327,232,0.925,0.055764883,1
0,0,0,0,1,1,1,1,0,0,0,0,8,1005,1,0.75,0.005970149,1
0,0,1,0,0,1,0,0,0,0,0,2,47,629,7,0.127659574,0.009538951,1
0,0,1,0,1,1,0,0,0,0,1,1,140,1175,456,0.635714286,0.075744681,1
0,0,0,0,0,1,0,0,0,0,5,0,12,514,6,0.583333333,0.013618677,1
0,0,0,0,0,1,0,1,0,0,0,0,6,367,5,0.333333333,0.005449591,1
1,0,0,0,0,1,0,0,0,0,2,13,57,1156,1183,0.596491228,0.029411765,1
0,0,0,0,1,1,1,1,0,0,0,0,6,657,0,0.833333333,0.00761035,1
0,0,0,0,1,1,0,1,0,0,0,0,11,1046,32,0.545454545,0.005736138,1
1,1,0,0,1,1,1,1,0,0,0,0,6,1071,2,1,0.005602241,1
1,1,0,0,1,1,1,1,0,0,0,0,2,332,68,0.5,0.003012048,1
0,0,0,0,1,1,0,0,0,0,0,1,33,1232,17,0.484848485,0.012987013,1
0,0,0,0,1,1,1,1,0,0,0,0,6,953,1,1,0.006295908,1
0,0,0,0,1,1,0,1,0,0,0,0,9,603,1,0.666666667,0.009950249,1
0,0,0,0,0,1,1,1,0,0,0,0,4,582,3,0.5,0.003436426,1
0,0,0,0,1,1,0,1,0,0,0,0,9,692,4,0.888888889,0.011560694,1
1,0,0,0,1,1,0,0,0,0,0,0,44,739,16,0.704545455,0.041948579,1
1,1,1,0,1,1,0,1,0,0,0,0,12,1035,2,0.416666667,0.004830918,1
0,1,1,0,1,1,0,0,0,0,0,0,20,925,8,0.6,0.012972973,1
0,0,0,0,0,1,0,0,0,0,0,0,15,508,17,0.666666667,0.019685039,1
0,0,0,0,0,1,0,0,0,0,0,0,44,1335,155,0.772727273,0.025468165,1
0,0,0,0,1,1,1,1,0,0,0,0,6,1062,12,1,0.005649718,1
1,0,0,0,0,1,0,1,0,0,2,1,14,1073,19,0.785714286,0.010251631,1
1,1,1,1,0,1,0,0,0,0,13,25,1258,1696,3228,0.357710652,0.265330189,1
0,0,0,0,1,1,0,1,0,0,0,0,23,1999,0,0.869565217,0.010005003,1
1,1,0,0,1,1,1,1,0,0,0,0,7,1164,27,1,0.006013746,1
1,1,0,0,1,1,1,1,0,0,0,0,2,1221,10,1,0.001638002,1
0,0,0,0,0,1,1,1,0,0,0,0,5,524,0,1,0.009541985,1
0,0,1,0,1,1,0,1,0,0,0,0,12,990,48,0.416666667,0.005050505,1
0,1,1,0,0,1,0,0,0,0,30,2,42,1073,635,0.452380952,0.017707363,1
0,0,0,0,0,1,0,0,0,0,3,1,183,797,116,0.480874317,0.110414053,1
0,0,0,0,1,1,0,1,0,0,0,0,8,530,0,0.625,0.009433962,1
0,0,0,0,1,1,0,1,0,0,0,0,13,932,1,0.538461538,0.00751073,1
0,0,0,0,1,1,1,1,0,0,0,0,5,1252,7,0.8,0.003194888,1
0,0,1,0,0,1,0,1,0,0,0,0,20,1116,84,0.55,0.009856631,1
0,0,0,0,0,1,0,1,0,0,3,0,10,741,10,0.9,0.012145749,1
0,0,0,0,1,1,0,0,0,0,0,0,30,1239,134,0.466666667,0.011299435,1
0,0,0,0,1,1,0,1,0,0,1,0,15,1090,45,0.533333333,0.00733945,1
0,0,0,0,0,1,0,0,0,0,3,4,59,286,390,0.389830508,0.08041958,1
0,0,0,0,1,1,1,1,0,0,0,0,9,1231,0,0.777777778,0.005686434,1
0,0,0,0,0,1,0,1,0,0,0,0,11,1061,10,0.727272727,0.007540057,1
0,0,0,0,1,1,0,0,0,0,0,0,24,1197,0,0.541666667,0.010860485,1
0,0,0,0,1,1,1,1,0,0,0,0,12,1235,0,0.833333333,0.008097166,1
0,0,1,0,0,1,0,1,0,0,0,0,9,626,1,0.444444444,0.006389776,1
0,0,0,0,1,1,1,1,0,0,12,0,6,658,240,0.666666667,0.006079027,1
0,0,0,0,1,1,0,1,0,0,0,0,7,480,8,0.714285714,0.010416667,1
0,0,0,0,0,1,0,1,0,0,0,0,12,973,2,0.75,0.009249743,1
0,0,0,0,1,1,0,1,0,0,12,0,6,397,455,0.5,0.007556675,1
0,0,0,0,1,1,0,0,0,0,1,0,12,428,7,0.333333333,0.009345794,1
0,0,0,0,1,1,0,0,0,0,1,2,36,1032,10,0.555555556,0.019379845,1
0,0,0,0,0,1,0,1,0,0,0,0,36,1990,1,0.694444444,0.012562814,1
0,0,0,0,1,1,1,1,0,0,0,0,3,592,0,1,0.005067568,1
0,0,0,0,1,1,0,0,0,0,0,0,25,1189,6,0.4,0.008410429,1
1,0,1,0,0,1,0,0,0,0,0,2,61,658,257,0.68852459,0.063829787,1
0,0,0,0,0,1,0,1,0,0,0,0,10,546,24,0.6,0.010989011,1
0,0,0,0,1,1,1,1,0,0,0,0,6,906,1,0.833333333,0.005518764,1
0,0,0,0,0,1,0,0,0,0,0,0,12,522,20,0.916666667,0.021072797,1
0,0,0,0,1,1,0,1,0,0,0,0,13,1094,28,0.923076923,0.010968921,1
0,0,1,0,0,1,0,0,0,0,2,0,69,700,66,0.507246377,0.05,1
0,0,0,0,0,1,0,0,0,0,0,0,14,452,10,0.785714286,0.024336283,1
0,0,0,0,1,1,1,1,0,0,0,0,2,491,1,0,0,1
0,0,1,0,0,1,0,1,0,0,0,0,6,544,2,0.666666667,0.007352941,1
0,0,0,0,1,1,0,1,0,0,0,0,19,1071,0,0.578947368,0.010270775,1
0,0,0,0,1,1,0,1,0,0,1,0,7,668,4,1,0.010479042,1
0,0,0,0,1,1,0,1,0,0,0,0,10,894,12,0.7,0.007829978,1
0,0,1,0,1,1,0,0,0,0,0,0,45,372,13,0.4,0.048387097,1
0,0,0,0,0,1,0,1,0,0,0,0,11,862,1,0.818181818,0.010440835,1
0,0,0,0,1,1,0,1,0,0,0,0,13,1197,6,0.769230769,0.008354219,1
0,0,0,0,1,1,0,0,0,0,2,0,39,1242,244,0.692307692,0.02173913,1
1,0,1,0,0,1,0,0,0,0,1,0,29,1107,19,0.931034483,0.024390244,1
0,0,1,0,0,1,0,0,0,0,671,3,315,2002,58,0.892063492,0.14035964,1
0,1,0,0,1,1,0,1,0,0,0,0,12,1013,73,0.75,0.008884501,1
0,0,0,0,1,1,0,1,0,0,0,0,7,653,2,0.571428571,0.006125574,1
0,0,0,0,1,1,0,1,0,0,11,0,7,657,32,0.857142857,0.00913242,1
0,0,0,0,0,1,0,0,0,0,1,0,13,647,14,0.384615385,0.007727975,1
0,0,0,0,0,1,1,1,0,0,0,0,6,985,2,0.833333333,0.005076142,1
1,0,0,0,0,1,0,0,0,0,0,0,31,733,39,0.225806452,0.009549795,1
1,0,0,0,0,1,0,0,0,0,15,2,149,1443,804,0.818791946,0.084546085,1
0,0,0,0,0,1,0,1,0,0,0,0,7,699,2,1,0.010014306,1
0,0,0,0,1,1,1,1,0,0,0,0,7,1159,1,1,0.006039689,1
0,0,1,0,0,1,0,1,0,0,0,0,16,1040,3,0.25,0.003846154,1
0,0,0,0,1,1,0,0,0,0,3,0,23,556,28,0.608695652,0.025179856,1
0,0,1,0,1,1,0,1,0,0,1,0,16,1026,24,0.3125,0.004873294,1
0,0,1,0,0,1,0,0,0,0,0,0,22,998,5,0.681818182,0.01503006,1
0,0,1,0,1,1,0,1,0,0,0,0,19,1017,3,0.631578947,0.01179941,1
0,0,0,0,1,1,0,1,0,0,0,0,14,1224,0,0.571428571,0.006535948,1
1,0,0,0,1,1,0,1,0,0,0,0,12,1173,1,1,0.010230179,1
0,0,1,0,1,1,1,1,0,0,0,0,9,1028,8,0.777777778,0.006809339,1
0,0,0,0,1,1,0,1,0,0,0,0,8,496,0,0.5,0.008064516,1
0,0,0,0,1,1,0,1,0,0,0,0,9,630,1,0.444444444,0.006349206,1
0,0,1,0,1,1,1,1,0,0,0,0,9,980,3,0.888888889,0.008163265,1
1,0,0,0,0,1,0,0,0,0,0,0,19,674,15,0.578947368,0.016320475,1
0,0,0,0,0,1,0,0,0,0,1,1,44,1235,381,0.75,0.026720648,1
0,0,0,0,1,1,1,1,0,0,11,0,10,1142,33,0.8,0.007005254,1
1,0,0,0,0,1,0,0,0,0,0,1,136,1325,224,0.911764706,0.093584906,1
0,1,1,0,0,1,0,1,0,0,0,0,12,1022,15,0.75,0.008806262,1
0,0,0,0,1,1,1,1,0,0,0,0,7,704,3,0.571428571,0.005681818,1
0,0,0,0,0,1,0,1,0,0,0,0,7,501,6,0.571428571,0.007984032,1
0,0,0,0,0,1,0,1,0,0,0,0,9,890,2,0.777777778,0.007865169,1
0,0,0,0,1,1,0,0,0,0,0,0,16,523,2,0.1875,0.005736138,1
0,0,0,0,0,1,0,0,0,0,0,0,17,603,33,0.294117647,0.008291874,1
1,0,1,0,0,1,0,1,0,0,7,0,11,1057,29,0.545454545,0.005676443,1
0,0,0,0,1,1,1,1,0,0,0,0,9,1100,0,1,0.008181818,1
0,0,0,0,0,1,0,0,0,0,0,0,33,456,0,0.242424242,0.01754386,1
0,0,0,0,1,1,0,1,0,0,0,0,17,1147,14,0.823529412,0.012205754,1
0,0,0,0,1,1,0,1,0,0,11,0,16,1260,288,0.5,0.006349206,1
0,0,0,0,1,1,0,1,0,0,0,0,18,1184,0,0.777777778,0.011824324,1
0,0,0,0,0,1,0,0,0,0,0,0,5,154,7,0.2,0.006493506,1
0,0,0,0,1,1,1,1,0,0,0,0,5,672,0,0.4,0.00297619,1
0,0,0,0,1,1,1,1,0,0,0,0,6,1029,16,0.833333333,0.004859086,1
1,1,0,0,1,1,0,1,0,0,0,0,10,648,0,0.5,0.007716049,1
1,1,0,0,0,1,1,1,0,0,1,0,7,1188,9,0.857142857,0.005050505,1
0,0,0,0,1,1,0,0,0,0,0,0,25,1021,1,0.2,0.00489716,1
0,0,0,0,1,1,0,1,0,0,0,0,17,1173,3,0.470588235,0.006820119,1
0,0,0,0,1,1,0,1,0,0,0,0,11,675,1,1,0.016296296,1
0,0,0,0,0,1,0,1,0,0,2,1,6,523,38,0.166666667,0.001912046,1
0,0,0,0,0,1,0,0,0,0,0,0,13,586,22,0.153846154,0.003412969,1
1,1,1,0,0,1,0,0,0,0,0,0,19,610,92,0.631578947,0.019672131,1
0,0,0,0,1,1,0,0,0,0,1,0,21,1000,6,0.714285714,0.015,1
0,0,0,0,1,1,1,1,0,0,11,0,5,653,33,0.4,0.003062787,1
0,0,0,0,0,1,0,1,0,0,0,0,10,972,2,0.4,0.004115226,1
0,0,0,0,1,1,0,1,0,0,0,0,10,687,0,0.7,0.010189229,1
0,0,0,0,1,1,1,1,0,0,0,0,4,614,11,0.75,0.004885993,1
1,1,1,0,0,1,0,0,0,0,7,0,42,1180,207,0.666666667,0.023728814,1
0,0,0,0,1,1,0,0,0,0,0,0,9,395,2,0.888888889,0.020253165,1
0,0,1,0,1,1,1,1,0,0,1,0,4,966,17,1,0.004140787,1
0,0,0,0,1,1,0,1,0,0,0,0,13,945,7,0.692307692,0.00952381,1
0,0,0,0,1,1,0,1,0,0,0,0,9,688,0,0.666666667,0.00872093,1
0,0,0,0,1,1,1,1,0,0,0,0,6,1092,0,0.5,0.002747253,1
0,0,0,0,0,1,0,0,0,0,1,0,81,1199,35,0.925925926,0.062552127,1
1,0,0,0,0,1,0,0,0,0,0,0,22,736,159,0.772727273,0.023097826,1
0,0,0,0,1,1,0,1,0,0,0,0,11,1029,5,0.363636364,0.003887269,1
0,0,0,0,1,1,0,0,0,0,0,0,19,508,28,0.947368421,0.035433071,1
0,0,0,0,1,1,1,1,0,0,0,0,7,1034,3,1,0.006769826,1
